team1,team2,team3,score
frc4286,frc5587,frc617,15
frc2534,frc836,frc6863,16
frc1895,frc3373,frc620,45
frc540,frc8590,frc539,12
frc2421,frc3136,frc5954,30
frc339,frc612,frc2106,24
frc2199,frc1522,frc1895,52
frc8326,frc9709,frc4505,44
frc422,frc5587,frc539,48
frc8592,frc339,frc540,33
frc1599,frc2998,frc4286,26
frc2106,frc3136,frc836,67
frc2534,frc620,frc9709,34
frc1731,frc2421,frc3373,63
frc5954,frc2199,frc4505,33
frc1522,frc4099,frc6863,40
frc612,frc8326,frc2421,24
frc617,frc8590,frc422,30
frc539,frc1895,frc836,40
frc5954,frc9709,frc8590,27
frc9709,frc1895,frc5587,39
frc3136,frc540,frc2199,33
frc6863,frc2106,frc1599,27
frc8590,frc4099,frc8326,34
frc539,frc5954,frc620,44
frc836,frc1731,frc4286,57
frc339,frc2534,frc1522,42
frc617,frc3373,frc8592,40
frc2998,frc836,frc539,59
frc4505,frc612,frc1731,49
frc8592,frc2534,frc3136,43
frc2199,frc617,frc3373,37
frc8326,frc2106,frc4099,34
frc1522,frc540,frc2998,19
frc6863,frc339,frc2421,16
frc4286,frc8590,frc1895,31
frc612,frc9709,frc422,52
frc4505,frc5587,frc5954,6
frc8592,frc620,frc836,36
frc1599,frc8326,frc339,51
frc2106,frc617,frc1731,72
frc5587,frc6863,frc8326,21
frc9709,frc1522,frc1731,52
frc3373,frc3136,frc5587,55
frc1895,frc4286,frc2421,24
frc620,frc1599,frc422,59
frc2106,frc2998,frc2199,44
frc4505,frc539,frc4099,50
frc8590,frc540,frc6863,32
frc612,frc5954,frc2534,30
frc1895,frc4505,frc3136,53
frc617,frc4099,frc620,53
frc8590,frc2534,frc8592,42
frc539,frc2106,frc9709,46
frc3373,frc6863,frc339,34
frc5587,frc2421,frc2998,12
frc2199,frc8326,frc4286,34
frc836,frc422,frc5954,65
frc617,frc1522,frc612,3
frc540,frc1731,frc1599,55
frc3136,frc4099,frc1599,59
frc5954,frc8592,frc1522,39
frc540,frc620,frc422,77
frc4505,frc6863,frc9709,40
frc8590,frc2421,frc2106,24
frc339,frc539,frc617,33
frc612,frc2199,frc5587,25
frc8326,frc836,frc2998,45
frc1885,frc1629,frc9403,37
frc1086,frc449,frc3361,49
frc4456,frc449,frc9003,31
frc8230,frc5830,frc401,33
frc1793,frc3939,frc3361,41
frc6189,frc977,frc1885,26
frc5804,frc9403,frc1793,46
frc9003,frc1086,frc8230,35
frc401,frc5724,frc6802,62
frc3939,frc1629,frc1262,76
frc9033,frc9403,frc6189,21
frc449,frc3361,frc4456,54
frc1629,frc5830,frc977,56
frc6189,frc449,frc5804,66
frc3939,frc1885,frc5830,29
frc1793,frc1629,frc6189,54
frc6194,frc449,frc3939,30
frc4456,frc9003,frc8230,25
frc3939,frc9033,frc6194,8
frc6802,frc1262,frc5830,36
frc977,frc9003,frc5724,36
frc6189,frc4456,frc1885,22
frc5804,frc4456,frc1793,23
frc1086,frc3939,frc9033,45
frc977,frc8230,frc401,58
frc9403,frc6802,frc1885,21
frc5830,frc6194,frc1793,15
frc1262,frc977,frc449,14
frc5804,frc6802,frc1086,77
frc1262,frc1885,frc9003,13
frc1629,frc401,frc6194,70
frc4456,frc5724,frc9403,15
frc1086,frc3361,frc4456,56
frc9033,frc449,frc1262,26
frc9033,frc1086,frc5830,40
frc5724,frc8230,frc1885,35
frc6189,frc8230,frc9033,23
frc5804,frc1262,frc5724,40
frc623,frc2900,frc611,39
frc612,frc2186,frc9033,20
frc620,frc122,frc401,76
frc623,frc339,frc2912,28
frc2028,frc4472,frc5243,51
frc9033,frc8230,frc2900,30
frc1885,frc611,frc9235,39
frc5338,frc3373,frc1895,47
frc1731,frc612,frc4821,75
frc122,frc1915,frc5587,49
frc8590,frc8230,frc2912,23
frc2028,frc116,frc623,40
frc620,frc539,frc1885,57
frc3359,frc9033,frc4472,50
frc5549,frc9403,frc2363,39
frc339,frc2186,frc401,35
frc2421,frc1418,frc1895,77
frc5243,frc619,frc2900,48
frc5338,frc5587,frc1731,114
frc1915,frc612,frc4472,29
frc9403,frc116,frc3359,42
frc3373,frc8230,frc539,60
frc2363,frc1895,frc5587,57
frc620,frc339,frc5549,42
frc9235,frc5243,frc2363,58
